"","author","title","description","url","urlToImage","publishedAt","content","source_id","source_name"
"1","Jacquelyn Corley, Contributor, Jacquelyn Corley, Contributor https://www.forbes.com/sites/jacquelyncorley/","Boston Doctor Becomes Victim Of COVID-19 Racism. Here Is How We Should Respond","These times are saturated with fear, high tensions and irrational blaming. Many historical prejudices that Asian Americans have faced have been exposed by the COVID-19 pandemic. What are specific actions that institutions should take to protect their healthca…","https://www.forbes.com/sites/jacquelyncorley/2020/04/14/boston-doctor-becomes-victim-of-covid-19-racism-here-is-how-we-should-respond/","https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5e9520131048ea0006cbcc05%2F0x0.jpg%3FcropX1%3D0%26cropX2%3D5117%26cropY1%3D264%26cropY2%3D3142","2020-04-14T10:00:00Z","null
Getty
It was a standard chilly Spring evening in Boston when Lucy Li, an anesthesia resident doctor at Massachusetts General Hospital (MGH), left work to head home. She had spent the entire day in the operating room assisting with bronchoscopies and ot… [+5882 chars]",NA,"Forbes.com"
"2","Shannon","COVID-19 in Asia: A Country-By-Country Guide","The good, the bad, and the ugly of the coronavirus fallout for each government in East, Southeast, South, and Central Asia.","https://thediplomat.com/2020/04/covid-19-in-asia-a-country-by-country-guide/","https://thediplomat.com/wp-content/uploads/2020/04/sizes/td-story-s-2/thediplomat-2020-04-14-5.jpg","2020-04-14T18:32:58Z","Advertisement
COVID-19 is a truly global problem, touching every corner of the world. From the direct health impact to economic, social, and political consequences, the pandemic has the potential to reshape countries across the globe — even those yet to repo… [+40202 chars]",NA,"Thediplomat.com"
"3","Ariel Bogle","'Stop it': How 5G conspiracy theorists are exploiting the coronavirus crisis","Fringe ideas about 5G are baked in the internet's darker corners. But as the world has gone into lockdown, they have found their way into the mainstream and risk endangering public health.","https://www.abc.net.au/news/science/2020-04-15/coronavirus-5g-vitamin-c-anti-vaccine-conspiracy-theories-spread/12145096","https://www.abc.net.au/cm/rimage/12145142-16x9-large.jpg?v=2","2020-04-14T21:42:50Z","We still have a great deal to learn about the new coronavirus, but there's one thing all the experts are united on: 5G is not to blame.
5G, or the fifth-generation mobile network, will power Australia's hyper-connected future, but on the internet of today it… [+7765 chars]","abc-news-au","ABC News (AU)"
"4","Unknown","COVID-19 CONVOS #2: Rising Above Bullying and Hate","Presented by Act To Change, Streaming Friday, April 17 at 1:00pm ET","http://blog.angryasianman.com/2020/04/covid-19-convos-2-rising-above-bullying.html","https://4.bp.blogspot.com/-e7MR08hkfk8/XpdIT6medYI/AAAAAAAAPzc/cGQKJcx6cz0csNCji6ajHjx-4KSnYHK_wCLcBGAsYHQ/w1200-h630-p-k-no-nu/covid19convos02.jpg","2020-04-14T18:00:00Z","Presented by Act To Change, Streaming Friday, April 17 at 1:00pm ET
With more than 100 cases of Coronavirus-related discrimination being reported on a daily basis, the need for the Asian American community to fight back against anti-Asian racism is now stron… [+845 chars]",NA,"Angryasianman.com"
"5","Salvatore Babones","In the Post-Coronavirus World, Chinese Power is Overrated","A global resurgence in national self-reliance might actually be a good thing for America’s place in the world.","https://foreignpolicy.com/2020/04/14/in-the-post-coronavirus-world-dont-write-off-american-leadership/","https://foreignpolicy.com/wp-content/uploads/2020/04/GettyImages-1196905066.jpg","2020-04-14T18:51:24Z","On March 18, U.S. President Donald Trump invoked the Korean War-era Defense Production Act, casting himself as a wartime president fighting for total victory against an invisible enemy: the new coronavirus. Two days earlier, French President Emmanuel Macron h… [+8944 chars]",NA,"Foreignpolicy.com"
"6","Cris Daining","Fast Growing Vegetables to Grow for an Early Harvest","This list of fast growing vegetables will help you get harvestable produce from your garden in just a few weeks. I include additional tips for having a successful quick growing garden and some of the best varieties of vegetables to grow. Restless. That’s how …","https://www.theprairiehomestead.com/2020/04/fast-growing-vegetables.html","https://www.theprairiehomestead.com/wp-content/uploads/2020/04/kale-1-scaled.jpg","2020-04-14T22:28:03Z","This list of fast growing vegetables will help you get harvestable produce from your garden in just a few weeks. I include additional tips for having a successful quick growing garden and some of the best varieties of vegetables to grow.
Restless.
That’s ho… [+16930 chars]",NA,"Theprairiehomestead.com"
"7","Jonathan Maus (Publisher/Editor)","Hood River bike shop owner ‘incredibly sorry’ about racist Instagram post","Warning: This post includes references to and an image of racist phrases that might be hurtful to some of you. Mitchell Buck says he didn’t mean to offend anyone when he wrote “Thanks, China” and referred to the coronavirus as the “Kung Flu” on his shop’s cha…","https://bikeportland.org/2020/04/14/hood-river-bike-shop-owner-incredibly-sorry-about-racist-instagram-post-313609","https://bikeportland.org/wp-content/uploads/2020/04/Screen-Shot-2020-04-14-at-2.30.01-PM.png","2020-04-14T21:50:37Z","Warning: This post includes references to and an image of racist phrases that might be hurtful to some of you.
Dirty Fingers Bikes Instagram post (now deleted).
Mitchell Buck says he didn’t mean to offend anyone when he wrote “Thanks, China” and referred to… [+6599 chars]",NA,"Bikeportland.org"
"8","trainee5","Current Affairs for IAS Exams - 14 April 2020","Current Affairs for IAS Exams - 14 April 2020 ::NATIONAL:: SC judgement claims floor test is governor’s discretion A Governor can call for a floor test any time he objectively feels a government in power has lost the confidence of the House and is on shaky gr…","https://iasexamportal.com/daily-current-affairs/14-04-2020?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+upscportal+%28IAS+EXAM+PORTAL+-+India%27s+Largest+UPSC%2C+IAS+Aspirants+Community.%29",NA,"2020-04-14T12:49:47Z","Current Affairs for IAS Exams - 14 April 2020
::NATIONAL::
SC judgement claims floor test is governor’s discretion
<ul><li>A Governor can call for a floor test any time he objectively feels a government in power has lost the confidence of the House and is … [+8859 chars]",NA,"Iasexamportal.com"
"9","dnyuz","I'm ER Doctor in New York. None of Us Will Ever Be Same...","First Week of March N.Y.C. Covid-19 cases, March 1: 1 I am in Karachi, Pakistan, on March 2, when I","https://dnyuz.com/2020/04/14/im-an-e-r-doctor-in-new-york-none-of-us-will-ever-be-the-same/","https://dnyuz.com/wp-content/uploads/2020/04/I’m-an-E.R.-Doctor-in-New-York.-None-of-Us.jpg","2020-04-14T12:00:05Z","First Week of March
N.Y.C. Covid-19 cases, March 1: 1
I am in Karachi, Pakistan, on March 2, when I read the news: New York City has its first patient hospitalized with the coronavirus. Though I am more than 7,000 miles away reporting on a different disease… [+59446 chars]",NA,"Dnyuz.com"
"10","HuffPost","Donald Trump Wants To Fight Coronavirus As A ‘Wartime President.’ He Can’t.","War, as a metaphor, what is it good for?","https://ca.sports.yahoo.com/news/donald-trump-coronavirus-war-152001830.html","https://s.yimg.com/uu/api/res/1.2/XwVg1j4fiUsSA8VYNOKQNQ--~B/aD0xMDAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://img.huffingtonpost.com/asset/5e94cf6225000098166b7b07.jpg","2020-04-14T15:20:01Z","Leaders of both the Republican and Democratic parties agree that the pandemic that has shut down the nations economy and killed more than 23,000 people should be treated as though it were a war.I view it in a sense as a wartime president, President Donald Tru… [+14934 chars]",NA,"Yahoo.com"
